State,ROI
NY,6.722721552394104
CA,4.903165429892163
IL,5.852096477570706
TX,-5.4192107812394
TX,-4.765338475819714
VA,2.104271423609716
PA,5.667736976987159
FL,5.043157420423728
GA,-0.7631803378875875
MA,7.81911542255886
AZ,-3.778978658102751
CA,-0.9553737866021723
CA,1.3962110064258613
MI,4.289965872330745
WA,1.2578683026824504
MN,-2.7574714570119783
CA,8.092226179038677
FL,-3.5340412574746636
CO,-3.897665614221534
MD,1.3635605147375427
MO,3.8081341419959025
FL,-1.9542114545966536
NC,-0.4724322570474839
TX,-9.478893107408577
OR,-3.202886797314708
CA,-2.474283320044063
PA,1.1314789387742794
OH,4.191057292387301
TX,-14.248880557013829
NV,0.01986910535728596
MO,2.6160868278982514
OH,3.655391981951408
IN,-0.3757468569427387
OH,6.603873923824801
CA,8.093336853402395
TN,-3.3419548152001446
VA,4.931123273127153
RI,8.842723269034908
FL,-5.911240492303494
WI,8.17977982533349
OK,-0.3907241275553661
NC,-2.4864678015785047
TN,-4.581420134690049
VA,3.6883766320576132
KY,2.0882485869674015
LA,-14.67218582072595
UT,-3.093746662725082
CT,12.65732859895289
NY,6.6767501490503935
AL,-4.234636221169109
NY,12.099687880458395
MI,4.203782837129429
AZ,-1.9503265616295178
HI,-4.69993049252407
OK,1.1143314977099683
CA,0.4561740048322248
MA,9.533257387862246
NE,2.445042869749243
CT,9.977436717011546
SC,0.16217228128202474
NM,3.925502793403403
CA,3.4129839628850975
NY,5.776251772544818
TN,8.720934492074155
LA,-0.8563277890651944
TX,3.8880313960187083
CT,11.07881294849272
TX,3.7580623171381724
PA,6.153945197678618
CA,3.6344147482106433
SC,0.7927668440277723
FL,-8.73688005041889
SC,2.897675491113263
NC,2.624072190552109
CA,-2.1586076532101166
FL,-9.006978822801372
ID,-3.6285488423306624
CO,-4.354306481887742
AR,-0.2653089913764234
FL,-5.946788250339979
OH,6.2960832900631605
IA,0.8304985561991527
MA,7.457972681336268
UT,-2.3743346179010403
WI,6.496618161043717
NC,3.05770329516491
FL,-5.553528505743494
NY,14.856822408265383
UT,-5.032531327034053
OH,6.664906602647114
KS,6.4050780751059175
NC,-0.019784515063877538
GA,0.14828187202174334
FL,-4.951718181608817
MS,-3.104413600157045
PA,4.351240583237524
WA,-4.00135672493383
PA,6.395879245875564
TN,4.477742582004012
CA,0.3942750548689399
PA,4.924342823407437
ME,6.194790051666719
OH,7.194466385883971
MI,5.261112207888615
AR,2.2148821096695723
NC,5.376165528185604
KY,5.832374118784761
FL,-2.7768956621524667
CA,-1.8780970695063681
NV,-1.4903849259175186
AL,-4.265300726126378
FL,-3.859174569443219
LA,-9.122045086531104
SC,-3.328631578450789
MO,0.6618110472377242
CA,0.018885417090235043
TX,-8.379969936905797
